vm_id,time,min_cpu,avg_cpu,max_cpu,vCPU,source_vm_category,min_core_usage,avg_core_usage,max_core_usage,workload_id,workload_type,selection_score,start_time,end_time
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,0,25.2228708723684,49.673456228019226,65.41208640842608,2,Delay-insensitive,0.5044574174473679,0.9934691245603844,1.3082417281685217,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,1,23.419516590646428,46.92998942347253,75.45074669174025,2,Delay-insensitive,0.4683903318129285,0.9385997884694506,1.509014933834805,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,2,23.951516379814933,42.00696128793512,51.502418495763806,2,Delay-insensitive,0.4790303275962986,0.8401392257587024,1.030048369915276,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,3,22.7177398281964,42.31762062958898,52.07929821858585,2,Delay-insensitive,0.454354796563928,0.8463524125917796,1.041585964371717,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,4,23.833002809731283,43.029292247763685,59.34996017273534,2,Delay-insensitive,0.4766600561946256,0.8605858449552737,1.1869992034547068,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,5,23.722845550052483,43.61768875026999,54.449249068267854,2,Delay-insensitive,0.4744569110010496,0.8723537750053998,1.0889849813653572,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,6,24.2833634814528,43.29795493393714,51.783431351805966,2,Delay-insensitive,0.485667269629056,0.8659590986787429,1.0356686270361193,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,7,23.778288654911822,43.89744217444888,56.172524354422734,2,Delay-insensitive,0.4755657730982364,0.8779488434889777,1.1234504870884547,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,8,23.34838813374503,44.10137277918702,56.77374284585287,2,Delay-insensitive,0.4669677626749006,0.8820274555837403,1.1354748569170574,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,9,26.009776408992128,63.92592517241007,85.85526293864353,2,Delay-insensitive,0.5201955281798426,1.2785185034482014,1.7171052587728708,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,10,35.92941532197042,69.83350325134738,86.28038480899436,2,Delay-insensitive,0.7185883064394083,1.3966700650269477,1.7256076961798872,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,11,37.56109292269593,70.47643069875484,85.95697450562055,2,Delay-insensitive,0.7512218584539185,1.4095286139750969,1.719139490112411,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,12,37.42848280583382,70.9302096134299,86.61305789450793,2,Delay-insensitive,0.7485696561166765,1.418604192268598,1.7322611578901586,bj_00,batch,2.0765851950232097,0,23
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,13,38.61838636995645,70.38458678241098,85.40006440555486,2,Delay-insensitive,0.772367727399129,1.4076917356482197,1.708001288111097,bj_00,batch,2.0765851950232097,0,23
