scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.98694570876091,7.98694570876091,0.9983682135951137,0,0,120,38.01374767318266,38.01374767318266,0.9503436918295665,0.9983682135951137
scen_02,7.991890615377284,7.991890615377284,0.9989863269221605,0,0,120,37.51075642329343,37.51075642329343,0.9377689105823357,0.9989863269221605
scen_03,7.981260147754853,7.981260147754853,0.9976575184693566,0,0,120,38.32738193260548,38.32738193260548,0.9581845483151371,0.9976575184693566
scen_04,7.996189423458119,7.996189423458119,0.9995236779322648,0,0,120,37.423499804858906,37.423499804858906,0.9355874951214727,0.9995236779322648
scen_05,7.998223889604916,7.998223889604916,0.9997779862006145,0,0,120,36.579362886944125,36.579362886944125,0.9144840721736032,0.9997779862006145
scen_06,7.978999144093278,7.978999144093278,0.9973748930116597,0,0,120,36.03925816693476,36.03925816693476,0.900981454173369,0.9973748930116597
scen_07,7.982187335353186,7.982187335353187,0.9977734169191483,0,0,120,36.42537758564106,36.42537758564106,0.9106344396410264,0.9977734169191482
scen_08,7.981888368207283,7.981888368207282,0.9977360460259103,0,0,120,38.379294722800466,38.379294722800466,0.9594823680700116,0.9977360460259104
scen_09,7.983652249374248,7.983652249374248,0.997956531171781,0,0,120,36.51481927787711,36.51481927787711,0.9128704819469278,0.997956531171781
scen_10,7.9936856918731,7.993685691873101,0.9992107114841376,0,0,120,37.87923655122409,37.87923655122409,0.9469809137806022,0.9992107114841375
