scenario,time,on_demand,spot,batch_total_work,batch_average_per_slot,equivalent_total_demand
scen_01,0,27.52440264574002,0.0,0.0,0.0,27.52440264574002
scen_01,1,27.46894673831845,0.0,0.0,0.0,27.46894673831845
scen_01,2,26.98137799739722,0.0,0.0,0.0,26.98137799739722
scen_01,3,30.398834667980978,0.0,0.0,0.0,30.398834667980978
scen_01,4,27.54926260382978,0.0,0.0,0.0,27.54926260382978
scen_01,5,33.35446743270325,0.0,0.0,0.0,33.35446743270325
scen_01,6,31.081986171405568,0.0,0.0,0.0,31.081986171405568
scen_01,7,28.597667223631262,0.0,0.0,0.0,28.597667223631262
scen_01,8,26.840020516144225,0.0,0.0,0.0,26.840020516144225
scen_01,9,29.363658774604687,0.0,0.0,0.0,29.363658774604687
scen_01,10,29.887712437260788,0.0,0.0,0.0,29.887712437260788
scen_01,11,34.59488614714916,0.0,0.0,0.0,34.59488614714916
scen_01,12,36.72875464526712,0.0,0.0,0.0,36.72875464526712
scen_01,13,35.003556358375846,0.0,0.0,0.0,35.003556358375846
scen_01,14,33.90000038817839,0.0,0.0,0.0,33.90000038817839
scen_01,15,31.51709203822938,0.0,0.0,0.0,31.51709203822938
scen_01,16,31.633839092471064,0.0,0.0,0.0,31.633839092471064
scen_01,17,31.38231342574722,0.0,0.0,0.0,31.38231342574722
scen_01,18,33.96566720966887,0.0,0.0,0.0,33.96566720966887
scen_01,19,32.65228360023343,0.0,0.0,0.0,32.65228360023343
scen_01,20,27.818634006843617,0.0,0.0,0.0,27.818634006843617
scen_01,21,27.179055561016796,0.0,0.0,0.0,27.179055561016796
scen_01,22,25.6328503603928,0.0,0.0,0.0,25.6328503603928
scen_01,23,27.258373308448473,0.0,0.0,0.0,27.258373308448473
scen_02,0,25.637620588959,0.0,0.0,0.0,25.637620588959
scen_02,1,27.75656873828023,0.0,0.0,0.0,27.75656873828023
scen_02,2,29.628047041147397,0.0,0.0,0.0,29.628047041147397
scen_02,3,29.70264079486854,0.0,0.0,0.0,29.70264079486854
scen_02,4,29.258674321261,0.0,0.0,0.0,29.258674321261
scen_02,5,28.768819503428055,0.0,0.0,0.0,28.768819503428055
scen_02,6,27.758111300252153,0.0,0.0,0.0,27.758111300252153
scen_02,7,30.344133506870882,0.0,0.0,0.0,30.344133506870882
scen_02,8,27.37171120842305,0.0,0.0,0.0,27.37171120842305
scen_02,9,28.088994628422686,0.0,0.0,0.0,28.088994628422686
scen_02,10,33.27986045211661,0.0,0.0,0.0,33.27986045211661
scen_02,11,36.347284343650294,0.0,0.0,0.0,36.347284343650294
scen_02,12,34.378517124318755,0.0,0.0,0.0,34.378517124318755
scen_02,13,34.7265317478711,0.0,0.0,0.0,34.7265317478711
scen_02,14,32.02950019863096,0.0,0.0,0.0,32.02950019863096
scen_02,15,31.991782291462847,0.0,0.0,0.0,31.991782291462847
scen_02,16,31.88423009297486,0.0,0.0,0.0,31.88423009297486
scen_02,17,32.48543638497637,0.0,0.0,0.0,32.48543638497637
scen_02,18,33.114693013568726,0.0,0.0,0.0,33.114693013568726
scen_02,19,32.3555688195452,0.0,0.0,0.0,32.3555688195452
scen_02,20,30.318736103391483,0.0,0.0,0.0,30.318736103391483
scen_02,21,24.780379974529147,0.0,0.0,0.0,24.780379974529147
scen_02,22,26.616520066074074,0.0,0.0,0.0,26.616520066074074
scen_02,23,27.28025149725795,0.0,0.0,0.0,27.28025149725795
scen_03,0,29.740701673187186,0.0,0.0,0.0,29.740701673187186
scen_03,1,28.920781920609105,0.0,0.0,0.0,28.920781920609105
scen_03,2,29.215326847449873,0.0,0.0,0.0,29.215326847449873
scen_03,3,25.388997874794736,0.0,0.0,0.0,25.388997874794736
scen_03,4,32.562762660463385,0.0,0.0,0.0,32.562762660463385
